Jan 01 08:01:22 webapp01 sudo: devops01 : TTY=pts/2 ; PWD=/var/www/webapp ; USER=root ; COMMAND=/usr/bin/tail -n 100 /var/log/syslog
Jan 01 08:11:27 cache01 sudo: devops01 : TTY=pts/2 ; PWD=/home/devops01 ; USER=root ; COMMAND=/usr/bin/docker logs webapp
Jan 01 08:12:23 staging01 sudo: operator01 : TTY=pts/0 ; PWD=/etc ; USER=root ; COMMAND=/usr/bin/cat /etc/sudoers
Jan 01 08:12:46 webapp02 sudo: backupsvc : TTY=pts/2 ; PWD=/opt/app ; USER=root ; COMMAND=/usr/bin/du -sh /var/log
Jan 01 08:13:12 worker01 sudo: operator01 : TTY=pts/1 ; PWD=/opt/app ; USER=root ; COMMAND=/usr/bin/cat /etc/sudoers
Jan 01 08:13:13 worker01 sudo: monitor : TTY=pts/3 ; PWD=/home/monitor ; USER=root ; COMMAND=/usr/bin/systemctl status nginx
Jan 01 08:14:00 db01 sudo: webadmin : TTY=pts/0 ; PWD=/var/www/webapp ; USER=root ; COMMAND=/usr/bin/find /var/www -type f
Jan 01 08:14:11 staging01 sudo: devops01 : TTY=pts/0 ; PWD=/opt/app ; USER=root ; COMMAND=/usr/bin/systemctl restart mysql
Jan 01 08:14:28 api01 sudo: builduser : TTY=pts/2 ; PWD=/opt/app ; USER=root ; COMMAND=/usr/bin/du -sh /var/log
Jan 01 08:15:23 db01 sudo: svcdeploy : TTY=pts/2 ; PWD=/var/log ; USER=root ; COMMAND=/usr/bin/kubectl describe pod webapp
Jan 01 08:16:20 staging01 sudo: backupsvc : TTY=pts/0 ; PWD=/var/www/webapp ; USER=root ; COMMAND=/usr/bin/tail -n 100 /var/log/syslog
Jan 01 08:16:29 webapp01 sudo: dbadmin : TTY=tty1 ; PWD=/opt/app ; USER=root ; COMMAND=/usr/bin/tail -n 100 /var/log/syslog
Jan 01 08:17:45 webapp01 sudo: svcdeploy : TTY=pts/0 ; PWD=/home/svcdeploy ; USER=root ; COMMAND=/usr/bin/tail -n 100 /var/log/syslog
Jan 01 08:17:54 worker01 sudo: admin01 : TTY=pts/0 ; PWD=/opt/app ; USER=root ; COMMAND=/usr/bin/tail -n 100 /var/log/syslog
Jan 01 08:18:30 db01 sudo: builduser : TTY=tty1 ; PWD=/var/www/webapp ; USER=root ; COMMAND=/usr/bin/find /var/www -type f
Jan 01 08:19:44 db01 sudo: builduser : TTY=pts/3 ; PWD=/var/log ; USER=root ; COMMAND=/usr/bin/journalctl -xe
Jan 01 08:19:57 proxy01 sudo: devops01 : TTY=pts/2 ; PWD=/var/log ; USER=root ; COMMAND=/usr/sbin/service cron restart
Jan 01 08:20:57 webapp02 sudo: admin01 : TTY=pts/0 ; PWD=/var/log ; USER=root ; COMMAND=/usr/bin/kubectl get pods
Jan 01 08:21:11 db01 sudo: svcdeploy : TTY=pts/1 ; PWD=/opt/app ; USER=root ; COMMAND=/usr/bin/chown -R www-data:www-data /var/www/webapp
Jan 01 08:21:29 api01 sudo: secops01 : TTY=pts/2 ; PWD=/var/log ; USER=root ; COMMAND=/usr/bin/tail -n 100 /var/log/syslog
Jan 01 08:21:39 webapp02 sudo: builduser : TTY=pts/0 ; PWD=/opt/app ; USER=root ; COMMAND=/usr/bin/apt update
Jan 01 08:21:51 api01 sudo: svcdeploy : TTY=pts/3 ; PWD=/var/log ; USER=root ; COMMAND=/usr/bin/chmod 755 /var/www/webapp
Jan 01 08:22:19 webapp01 sudo: secops01 : TTY=pts/1 ; PWD=/var/log ; USER=root ; COMMAND=/usr/bin/apt update
Jan 01 08:23:09 staging01 sudo: webadmin : TTY=pts/2 ; PWD=/var/log ; USER=root ; COMMAND=/usr/bin/less /var/log/auth.log
Jan 01 08:24:34 api01 sudo: builduser : TTY=pts/1 ; PWD=/etc ; USER=root ; COMMAND=/usr/bin/journalctl -xe
Jan 01 08:24:42 webapp01 sudo: monitor : TTY=pts/2 ; PWD=/home/monitor ; USER=root ; COMMAND=/usr/bin/apt install nginx
Jan 01 08:25:57 api01 sudo: builduser : TTY=pts/0 ; PWD=/opt/app ; USER=root ; COMMAND=/usr/bin/systemctl restart nginx
Jan 01 08:26:21 webapp02 sudo: devops01 : TTY=pts/1 ; PWD=/var/log ; USER=root ; COMMAND=/usr/bin/systemctl status nginx
Jan 01 08:27:34 webapp01 sudo: svcdeploy : TTY=tty1 ; PWD=/home/svcdeploy ; USER=root ; COMMAND=/usr/sbin/service cron restart
Jan 01 08:28:59 worker01 sudo: monitor : TTY=pts/2 ; PWD=/var/www/webapp ; USER=root ; COMMAND=/usr/bin/kubectl get pods
Jan 01 08:29:30 proxy01 sudo: webadmin : TTY=pts/1 ; PWD=/etc ; USER=root ; COMMAND=/usr/bin/chown -R www-data:www-data /var/www/webapp
Jan 01 08:30:11 webapp01 sudo: devops01 : TTY=pts/3 ; PWD=/opt/app ; USER=root ; COMMAND=/usr/bin/find /var/www -type f
Jan 01 08:30:24 db01 sudo: devops01 : TTY=tty1 ; PWD=/etc ; USER=root ; COMMAND=/usr/bin/systemctl restart mysql
Jan 01 08:31:09 db01 sudo: devops01 : TTY=pts/2 ; PWD=/etc ; USER=root ; COMMAND=/usr/bin/systemctl status mysql
Jan 01 08:32:06 cache01 sudo: backupsvc : TTY=tty1 ; PWD=/opt/app ; USER=root ; COMMAND=/usr/bin/apt update
Jan 01 08:33:32 cache01 sudo: backupsvc : TTY=pts/0 ; PWD=/var/www/webapp ; USER=root ; COMMAND=/usr/bin/docker ps
Jan 01 08:33:47 api01 sudo: devops01 : TTY=pts/2 ; PWD=/etc ; USER=root ; COMMAND=/usr/bin/du -sh /var/log
Jan 01 08:34:14 db01 sudo: dbadmin : TTY=pts/2 ; PWD=/opt/app ; USER=root ; COMMAND=/usr/bin/chmod 755 /var/www/webapp
Jan 01 08:34:47 webapp02 sudo: admin01 : TTY=pts/3 ; PWD=/etc ; USER=root ; COMMAND=/usr/bin/apt install nginx
Jan 01 08:34:48 api01 sudo: dbadmin : TTY=pts/2 ; PWD=/var/www/webapp ; USER=root ; COMMAND=/usr/bin/chown -R www-data:www-data /var/www/webapp
Jan 01 08:35:59 webapp01 sudo: secops01 : TTY=pts/0 ; PWD=/home/secops01 ; USER=root ; COMMAND=/usr/bin/systemctl restart mysql
Jan 01 08:37:09 worker01 sudo: admin01 : TTY=tty1 ; PWD=/opt/app ; USER=root ; COMMAND=/usr/bin/systemctl restart mysql
Jan 01 08:38:05 webapp01 sudo: operator01 : TTY=pts/2 ; PWD=/etc ; USER=root ; COMMAND=/usr/bin/apt install nginx
Jan 01 08:38:51 db01 sudo: svcdeploy : TTY=pts/0 ; PWD=/etc ; USER=root ; COMMAND=/usr/bin/less /var/log/auth.log
Jan 01 08:39:44 api01 sudo: monitor : TTY=pts/1 ; PWD=/var/www/webapp ; USER=root ; COMMAND=/usr/bin/systemctl status mysql
Jan 01 08:40:37 api01 sudo: admin01 : TTY=pts/2 ; PWD=/var/log ; USER=root ; COMMAND=/usr/bin/tail -n 100 /var/log/syslog
Jan 01 08:41:12 webapp02 sudo: operator01 : TTY=pts/3 ; PWD=/home/operator01 ; USER=root ; COMMAND=/usr/bin/chmod 755 /var/www/webapp
Jan 01 08:41:41 staging01 sudo: svcdeploy : TTY=pts/2 ; PWD=/etc ; USER=root ; COMMAND=/usr/bin/tail -n 100 /var/log/syslog
Jan 01 08:42:10 db01 sudo: admin01 : TTY=pts/3 ; PWD=/etc ; USER=root ; COMMAND=/usr/bin/docker ps
Jan 01 08:42:19 worker01 sudo: webadmin : TTY=tty1 ; PWD=/var/log ; USER=root ; COMMAND=/usr/bin/less /var/log/auth.log
Jan 01 08:43:02 webapp02 sudo: admin01 : TTY=pts/2 ; PWD=/var/www/webapp ; USER=root ; COMMAND=/usr/bin/find /var/www -type f
Jan 01 08:43:36 webapp02 sudo: admin01 : TTY=tty1 ; PWD=/var/log ; USER=root ; COMMAND=/usr/bin/kubectl describe pod webapp
Jan 01 08:44:17 webapp02 sudo: secops01 : TTY=pts/3 ; PWD=/opt/app ; USER=root ; COMMAND=/usr/bin/journalctl -xe
Jan 01 08:44:50 proxy01 sudo: admin01 : TTY=pts/0 ; PWD=/opt/app ; USER=root ; COMMAND=/usr/bin/less /var/log/auth.log
Jan 01 08:46:18 worker01 sudo: svcdeploy : TTY=pts/3 ; PWD=/home/svcdeploy ; USER=root ; COMMAND=/usr/bin/kubectl get pods
Jan 01 08:47:38 webapp02 sudo: dbadmin : TTY=pts/2 ; PWD=/opt/app ; USER=root ; COMMAND=/usr/bin/docker logs webapp
Jan 01 08:49:04 worker01 sudo: secops01 : TTY=pts/3 ; PWD=/etc ; USER=root ; COMMAND=/usr/bin/less /var/log/auth.log
Jan 01 08:49:21 proxy01 sudo: svcdeploy : TTY=pts/3 ; PWD=/var/www/webapp ; USER=root ; COMMAND=/usr/bin/du -sh /var/log
Jan 01 08:50:34 proxy01 sudo: webadmin : TTY=tty1 ; PWD=/home/webadmin ; USER=root ; COMMAND=/usr/bin/docker logs webapp
Jan 01 08:51:11 proxy01 sudo: svcdeploy : TTY=tty1 ; PWD=/opt/app ; USER=root ; COMMAND=/usr/bin/kubectl get pods
Jan 01 08:52:11 staging01 sudo: builduser : TTY=pts/1 ; PWD=/opt/app ; USER=root ; COMMAND=/usr/bin/chmod 755 /var/www/webapp
Jan 01 08:52:33 cache01 sudo: devops01 : TTY=tty1 ; PWD=/opt/app ; USER=root ; COMMAND=/usr/bin/kubectl get pods
Jan 01 08:52:45 cache01 sudo: svcdeploy : TTY=pts/1 ; PWD=/var/www/webapp ; USER=root ; COMMAND=/usr/bin/systemctl restart mysql
Jan 01 08:52:49 db01 sudo: admin01 : TTY=pts/3 ; PWD=/opt/app ; USER=root ; COMMAND=/usr/bin/systemctl restart nginx
Jan 01 08:53:48 db01 sudo: secops01 : TTY=pts/3 ; PWD=/var/log ; USER=root ; COMMAND=/usr/sbin/ufw status
Jan 01 08:54:20 webapp01 sudo: operator01 : TTY=pts/0 ; PWD=/var/log ; USER=root ; COMMAND=/usr/bin/tail -n 100 /var/log/syslog
Jan 01 08:54:43 staging01 sudo: backupsvc : TTY=pts/0 ; PWD=/opt/app ; USER=root ; COMMAND=/usr/bin/tail -n 100 /var/log/syslog
Jan 01 08:54:59 api01 sudo: builduser : TTY=pts/3 ; PWD=/opt/app ; USER=root ; COMMAND=/usr/bin/less /var/log/auth.log
Jan 01 08:56:16 staging01 sudo: dbadmin : TTY=tty1 ; PWD=/opt/app ; USER=root ; COMMAND=/usr/sbin/service cron restart
Jan 01 08:57:27 api01 sudo: builduser : TTY=pts/3 ; PWD=/var/log ; USER=root ; COMMAND=/usr/bin/docker ps
Jan 01 08:57:59 staging01 sudo: webadmin : TTY=pts/1 ; PWD=/etc ; USER=root ; COMMAND=/usr/bin/chown -R www-data:www-data /var/www/webapp
Jan 01 08:58:09 db01 sudo: webadmin : TTY=pts/2 ; PWD=/etc ; USER=root ; COMMAND=/usr/bin/kubectl get pods
Jan 01 08:59:19 api01 sudo: devops01 : TTY=pts/1 ; PWD=/var/www/webapp ; USER=root ; COMMAND=/usr/sbin/ufw status
Jan 01 09:00:48 db01 sudo: operator01 : TTY=pts/0 ; PWD=/var/log ; USER=root ; COMMAND=/usr/sbin/service cron restart
Jan 01 09:01:31 staging01 sudo: backupsvc : TTY=pts/3 ; PWD=/home/backupsvc ; USER=root ; COMMAND=/usr/bin/journalctl -xe
Jan 01 09:02:25 webapp01 sudo: secops01 : TTY=tty1 ; PWD=/var/log ; USER=root ; COMMAND=/usr/bin/chmod 755 /var/www/webapp
Jan 01 09:02:26 cache01 sudo: dbadmin : TTY=pts/3 ; PWD=/var/log ; USER=root ; COMMAND=/usr/bin/less /var/log/auth.log
Jan 01 09:03:36 db01 sudo: monitor : TTY=pts/3 ; PWD=/var/www/webapp ; USER=root ; COMMAND=/usr/bin/docker ps
Jan 01 09:04:32 webapp01 sudo: builduser : TTY=pts/3 ; PWD=/etc ; USER=root ; COMMAND=/usr/sbin/ufw status
Jan 01 09:04:54 api01 sudo: builduser : TTY=tty1 ; PWD=/opt/app ; USER=root ; COMMAND=/usr/bin/apt update
Jan 01 09:05:45 webapp01 sudo: monitor : TTY=pts/0 ; PWD=/var/log ; USER=root ; COMMAND=/usr/bin/systemctl restart mysql
Jan 01 09:06:45 webapp01 sudo: operator01 : TTY=pts/2 ; PWD=/var/log ; USER=root ; COMMAND=/usr/bin/kubectl get pods
Jan 01 09:07:13 worker01 sudo: builduser : TTY=pts/2 ; PWD=/var/log ; USER=root ; COMMAND=/usr/bin/docker ps
Jan 01 09:08:07 webapp02 sudo: webadmin : TTY=pts/3 ; PWD=/home/webadmin ; USER=root ; COMMAND=/usr/bin/less /var/log/auth.log
Jan 01 09:08:14 db01 sudo: dbadmin : TTY=pts/0 ; PWD=/home/dbadmin ; USER=root ; COMMAND=/usr/bin/apt update
Jan 01 09:08:46 webapp01 sudo: svcdeploy : TTY=tty1 ; PWD=/var/www/webapp ; USER=root ; COMMAND=/usr/bin/tail -n 100 /var/log/syslog
Jan 01 09:09:03 webapp02 sudo: builduser : TTY=tty1 ; PWD=/var/www/webapp ; USER=root ; COMMAND=/usr/bin/chown -R www-data:www-data /var/www/webapp
Jan 01 09:10:33 worker01 sudo: webadmin : TTY=pts/1 ; PWD=/opt/app ; USER=root ; COMMAND=/usr/bin/du -sh /var/log
Jan 01 09:10:48 cache01 sudo: operator01 : TTY=pts/0 ; PWD=/opt/app ; USER=root ; COMMAND=/usr/bin/apt update
Jan 01 09:11:28 proxy01 sudo: monitor : TTY=pts/3 ; PWD=/var/www/webapp ; USER=root ; COMMAND=/usr/bin/systemctl restart nginx
Jan 01 09:12:44 webapp02 sudo: svcdeploy : TTY=pts/2 ; PWD=/opt/app ; USER=root ; COMMAND=/usr/bin/systemctl status nginx
Jan 01 09:13:57 worker01 sudo: admin01 : TTY=tty1 ; PWD=/var/log ; USER=root ; COMMAND=/usr/bin/kubectl describe pod webapp
Jan 01 09:14:06 worker01 sudo: backupsvc : TTY=pts/0 ; PWD=/var/log ; USER=root ; COMMAND=/usr/bin/chmod 755 /var/www/webapp
Jan 01 09:14:20 worker01 sudo: secops01 : TTY=pts/3 ; PWD=/var/www/webapp ; USER=root ; COMMAND=/usr/sbin/service cron restart
Jan 01 09:14:43 cache01 sudo: backupsvc : TTY=tty1 ; PWD=/opt/app ; USER=root ; COMMAND=/usr/bin/chmod 755 /var/www/webapp
Jan 01 09:15:43 cache01 sudo: secops01 : TTY=pts/2 ; PWD=/var/www/webapp ; USER=root ; COMMAND=/usr/bin/systemctl restart nginx
Jan 01 09:16:19 db01 sudo: builduser : TTY=pts/3 ; PWD=/opt/app ; USER=root ; COMMAND=/usr/bin/du -sh /var/log
Jan 01 09:17:45 worker01 sudo: secops01 : TTY=pts/0 ; PWD=/var/log ; USER=root ; COMMAND=/usr/bin/kubectl get pods
Jan 01 09:18:09 db01 sudo: builduser : TTY=pts/2 ; PWD=/etc ; USER=root ; COMMAND=/usr/bin/kubectl get pods
Jan 01 09:18:45 cache01 sudo: monitor : TTY=tty1 ; PWD=/home/monitor ; USER=root ; COMMAND=/usr/bin/cat /etc/sudoers
Jan 01 09:19:10 db01 sudo: devops01 : TTY=pts/3 ; PWD=/var/log ; USER=root ; COMMAND=/usr/bin/less /var/log/auth.log
Jan 01 09:19:41 staging01 sudo: builduser : TTY=pts/3 ; PWD=/home/builduser ; USER=root ; COMMAND=/usr/bin/systemctl restart nginx
Jan 01 09:20:19 proxy01 sudo: svcdeploy : TTY=pts/1 ; PWD=/etc ; USER=root ; COMMAND=/usr/bin/find /var/www -type f
Jan 01 09:21:07 worker01 sudo: builduser : TTY=pts/3 ; PWD=/opt/app ; USER=root ; COMMAND=/usr/bin/kubectl get pods
Jan 01 09:21:53 cache01 sudo: builduser : TTY=pts/2 ; PWD=/etc ; USER=root ; COMMAND=/usr/bin/tail -n 100 /var/log/syslog
Jan 01 09:22:09 worker01 sudo: svcdeploy : TTY=pts/0 ; PWD=/opt/app ; USER=root ; COMMAND=/usr/bin/systemctl status mysql
Jan 01 09:22:34 staging01 sudo: svcdeploy : TTY=pts/2 ; PWD=/opt/app ; USER=root ; COMMAND=/usr/bin/cat /etc/sudoers
Jan 01 09:23:51 webapp02 sudo: webadmin : TTY=pts/1 ; PWD=/etc ; USER=root ; COMMAND=/usr/bin/tail -n 100 /var/log/syslog
Jan 01 09:24:38 cache01 sudo: operator01 : TTY=pts/0 ; PWD=/opt/app ; USER=root ; COMMAND=/usr/bin/systemctl restart mysql
Jan 01 09:25:14 webapp01 sudo: admin01 : TTY=tty1 ; PWD=/etc ; USER=root ; COMMAND=/usr/bin/systemctl restart mysql
Jan 01 09:26:36 webapp02 sudo: builduser : TTY=pts/0 ; PWD=/opt/app ; USER=root ; COMMAND=/usr/bin/docker logs webapp
Jan 01 09:27:37 staging01 sudo: builduser : TTY=pts/2 ; PWD=/var/www/webapp ; USER=root ; COMMAND=/usr/bin/apt install nginx
Jan 01 09:28:10 webapp02 sudo: builduser : TTY=pts/0 ; PWD=/var/log ; USER=root ; COMMAND=/usr/bin/chmod 755 /var/www/webapp
Jan 01 09:28:20 webapp01 sudo: monitor : TTY=pts/1 ; PWD=/var/www/webapp ; USER=root ; COMMAND=/usr/bin/find /var/www -type f
Jan 01 09:28:59 db01 sudo: devops01 : TTY=pts/0 ; PWD=/opt/app ; USER=root ; COMMAND=/usr/sbin/service cron restart
Jan 01 09:30:17 db01 sudo: monitor : TTY=tty1 ; PWD=/var/log ; USER=root ; COMMAND=/usr/bin/chown -R www-data:www-data /var/www/webapp
Jan 01 09:31:14 proxy01 sudo: webadmin : TTY=pts/2 ; PWD=/opt/app ; USER=root ; COMMAND=/usr/bin/du -sh /var/log
Jan 01 09:31:22 webapp02 sudo: monitor : TTY=pts/1 ; PWD=/var/www/webapp ; USER=root ; COMMAND=/usr/bin/docker ps
Jan 01 09:32:47 api01 sudo: devops01 : TTY=pts/1 ; PWD=/var/www/webapp ; USER=root ; COMMAND=/usr/bin/less /var/log/auth.log
Jan 01 09:32:57 webapp01 sudo: operator01 : TTY=pts/3 ; PWD=/var/log ; USER=root ; COMMAND=/usr/bin/du -sh /var/log
Jan 01 09:33:58 webapp01 sudo: webadmin : TTY=pts/1 ; PWD=/etc ; USER=root ; COMMAND=/usr/bin/docker logs webapp
Jan 01 09:35:28 webapp02 sudo: builduser : TTY=pts/1 ; PWD=/etc ; USER=root ; COMMAND=/usr/bin/find /var/www -type f
Jan 01 09:36:53 proxy01 sudo: svcdeploy : TTY=pts/0 ; PWD=/opt/app ; USER=root ; COMMAND=/usr/bin/tail -n 100 /var/log/syslog
Jan 01 09:38:16 cache01 sudo: operator01 : TTY=pts/1 ; PWD=/home/operator01 ; USER=root ; COMMAND=/usr/bin/apt install nginx
Jan 01 09:38:38 cache01 sudo: webadmin : TTY=pts/3 ; PWD=/home/webadmin ; USER=root ; COMMAND=/usr/bin/chown -R www-data:www-data /var/www/webapp
Jan 01 09:40:07 proxy01 sudo: webadmin : TTY=pts/2 ; PWD=/opt/app ; USER=root ; COMMAND=/usr/bin/less /var/log/auth.log
Jan 01 09:41:11 webapp02 sudo: builduser : TTY=tty1 ; PWD=/home/builduser ; USER=root ; COMMAND=/usr/sbin/service cron restart
Jan 01 09:41:53 cache01 sudo: monitor : TTY=pts/0 ; PWD=/home/monitor ; USER=root ; COMMAND=/usr/bin/tail -n 100 /var/log/syslog
Jan 01 09:43:20 webapp01 sudo: monitor : TTY=pts/2 ; PWD=/opt/app ; USER=root ; COMMAND=/usr/bin/apt install nginx
Jan 01 09:43:43 staging01 sudo: builduser : TTY=pts/2 ; PWD=/var/www/webapp ; USER=root ; COMMAND=/usr/bin/find /var/www -type f
Jan 01 09:44:39 webapp02 sudo: builduser : TTY=pts/3 ; PWD=/etc ; USER=root ; COMMAND=/usr/sbin/service cron restart
Jan 01 09:45:22 webapp02 sudo: dbadmin : TTY=pts/1 ; PWD=/etc ; USER=root ; COMMAND=/usr/sbin/service cron restart
Jan 01 09:46:51 cache01 sudo: builduser : TTY=pts/3 ; PWD=/opt/app ; USER=root ; COMMAND=/usr/bin/apt install nginx
Jan 01 09:47:50 worker01 sudo: devops01 : TTY=pts/2 ; PWD=/etc ; USER=root ; COMMAND=/usr/bin/systemctl status nginx
Jan 01 09:48:42 webapp01 sudo: backupsvc : TTY=tty1 ; PWD=/var/log ; USER=root ; COMMAND=/usr/sbin/service cron restart
Jan 01 09:48:49 worker01 sudo: svcdeploy : TTY=tty1 ; PWD=/var/log ; USER=root ; COMMAND=/usr/bin/chown -R www-data:www-data /var/www/webapp
Jan 01 09:48:56 cache01 sudo: svcdeploy : TTY=tty1 ; PWD=/var/www/webapp ; USER=root ; COMMAND=/usr/bin/docker logs webapp
Jan 01 09:49:53 webapp02 sudo: builduser : TTY=pts/0 ; PWD=/opt/app ; USER=root ; COMMAND=/usr/bin/tail -n 100 /var/log/syslog
Jan 01 09:50:14 webapp01 sudo: webadmin : TTY=tty1 ; PWD=/var/log ; USER=root ; COMMAND=/usr/bin/systemctl restart nginx
Jan 01 09:50:43 staging01 sudo: devops01 : TTY=pts/0 ; PWD=/var/www/webapp ; USER=root ; COMMAND=/usr/bin/chmod 755 /var/www/webapp
Jan 01 09:51:21 cache01 sudo: backupsvc : TTY=pts/3 ; PWD=/var/log ; USER=root ; COMMAND=/usr/bin/chmod 755 /var/www/webapp
Jan 01 09:51:53 api01 sudo: builduser : TTY=pts/3 ; PWD=/var/www/webapp ; USER=root ; COMMAND=/usr/bin/du -sh /var/log
Jan 01 09:52:59 webapp02 sudo: operator01 : TTY=pts/2 ; PWD=/var/log ; USER=root ; COMMAND=/usr/bin/kubectl get pods
Jan 01 09:54:04 webapp01 sudo: webadmin : TTY=pts/2 ; PWD=/etc ; USER=root ; COMMAND=/usr/bin/find /var/www -type f
Jan 01 09:55:19 api01 sudo: builduser : TTY=pts/3 ; PWD=/opt/app ; USER=root ; COMMAND=/usr/bin/chmod 755 /var/www/webapp
Jan 01 09:56:04 proxy01 sudo: dbadmin : TTY=pts/3 ; PWD=/etc ; USER=root ; COMMAND=/usr/bin/journalctl -xe
Jan 01 09:57:34 proxy01 sudo: svcdeploy : TTY=pts/1 ; PWD=/var/log ; USER=root ; COMMAND=/usr/bin/apt install nginx
Jan 01 09:58:15 proxy01 sudo: builduser : TTY=pts/3 ; PWD=/var/www/webapp ; USER=root ; COMMAND=/usr/bin/chmod 755 /var/www/webapp
Jan 01 09:58:20 worker01 sudo: operator01 : TTY=pts/0 ; PWD=/var/log ; USER=root ; COMMAND=/usr/bin/systemctl status nginx
Jan 01 09:59:28 webapp01 sudo: builduser : TTY=pts/1 ; PWD=/var/log ; USER=root ; COMMAND=/usr/bin/systemctl restart mysql
Jan 01 09:59:38 cache01 sudo: builduser : TTY=pts/2 ; PWD=/opt/app ; USER=root ; COMMAND=/usr/sbin/ufw status
Jan 01 10:01:02 worker01 sudo: devops01 : TTY=tty1 ; PWD=/var/log ; USER=root ; COMMAND=/usr/bin/kubectl get pods
Jan 01 10:02:23 webapp01 sudo: builduser : TTY=tty1 ; PWD=/home/builduser ; USER=root ; COMMAND=/usr/bin/tail -n 100 /var/log/syslog
Jan 01 10:03:44 db01 sudo: webadmin : TTY=pts/0 ; PWD=/var/log ; USER=root ; COMMAND=/usr/bin/systemctl status nginx
Jan 01 10:05:06 staging01 sudo: devops01 : TTY=pts/1 ; PWD=/etc ; USER=root ; COMMAND=/usr/bin/apt update
Jan 01 10:05:12 webapp01 sudo: dbadmin : TTY=pts/2 ; PWD=/etc ; USER=root ; COMMAND=/usr/bin/kubectl describe pod webapp
Jan 01 10:06:08 db01 sudo: operator01 : TTY=tty1 ; PWD=/var/log ; USER=root ; COMMAND=/usr/bin/find /var/www -type f
Jan 01 10:07:36 api01 sudo: operator01 : TTY=pts/1 ; PWD=/home/operator01 ; USER=root ; COMMAND=/usr/bin/du -sh /var/log
Jan 01 10:08:25 db01 sudo: monitor : TTY=pts/3 ; PWD=/opt/app ; USER=root ; COMMAND=/usr/bin/systemctl restart mysql
Jan 01 10:08:55 cache01 sudo: builduser : TTY=pts/3 ; PWD=/etc ; USER=root ; COMMAND=/usr/bin/apt update
Jan 01 10:09:55 api01 sudo: webadmin : TTY=pts/0 ; PWD=/var/log ; USER=root ; COMMAND=/usr/bin/kubectl describe pod webapp
Jan 01 10:11:11 proxy01 sudo: webadmin : TTY=pts/2 ; PWD=/var/log ; USER=root ; COMMAND=/usr/bin/docker logs webapp
